           Unix Timestamp,               UTC_Date_&_Time,                 Hora de Chile,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1660318260,           2022-08-12 15:31:00,           2022-08-12 11:31:00,      3.020000,     14.443000,          5.867651,                    70.456004,      1.013000
                1660319160,           2022-08-12 15:46:00,           2022-08-12 11:46:00,      3.020000,     14.382000,          5.561105,                    66.693055,      1.014000
                1660320060,           2022-08-12 16:01:00,           2022-08-12 12:01:00,      3.020000,     14.486000,          5.180153,                    62.254750,      1.013000
                1660320960,           2022-08-12 16:16:00,           2022-08-12 12:16:00,      3.020000,     14.520000,          4.932355,                    59.317320,      1.014000
                1660321860,           2022-08-12 16:31:00,           2022-08-12 12:31:00,      3.020000,     14.555000,          4.698410,                    56.543676,      1.014000
                1660322760,           2022-08-12 16:46:00,           2022-08-12 12:46:00,      3.020000,     14.641000,          4.536640,                    54.691294,      1.014000
                1660323660,           2022-08-12 17:01:00,           2022-08-12 13:01:00,      3.020000,     14.641000,          4.431346,                    53.421921,      1.014000
                1660324560,           2022-08-12 17:16:00,           2022-08-12 13:16:00,      3.020000,     14.676000,          4.340992,                    52.369454,      1.014000
                1660325460,           2022-08-12 17:31:00,           2022-08-12 13:31:00,      3.020000,     14.754000,          4.252558,                    51.382936,      1.014000
                1660326360,           2022-08-12 17:46:00,           2022-08-12 13:46:00,      3.020000,     14.719000,          4.190274,                    50.594838,      1.014000
                1660327260,           2022-08-12 18:01:00,           2022-08-12 14:01:00,      3.020000,     14.702000,          4.108526,                    49.590867,      1.013000
                1660328160,           2022-08-12 18:16:00,           2022-08-12 14:16:00,      3.020000,     14.615000,          4.086720,                    49.241575,      1.014000
                1660329060,           2022-08-12 18:31:00,           2022-08-12 14:31:00,      3.020000,     14.676000,          4.016927,                    48.459963,      1.014000
                1660329960,           2022-08-12 18:46:00,           2022-08-12 14:46:00,      3.020000,     14.641000,          4.003638,                    48.265707,      1.014000
                1660330860,           2022-08-12 19:01:00,           2022-08-12 15:01:00,      3.020000,     14.667000,          3.974422,                    47.938522,      1.014000
                1660331760,           2022-08-12 19:16:00,           2022-08-12 15:16:00,      3.020000,     14.719000,          3.941290,                    47.588521,      1.014000
